0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:23 +0800] "POST /meeting/QueryEmployeeByDidServlet HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:25 +0800] "POST /meeting/MeetingBookServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:26 +0800] "GET /meeting/MybookingServlet HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:36 +0800] "GET /meeting/MymeetingdetailServlet?meetingid=66 HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:36 +0800] "GET /meeting/js/meetingfetails.js HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:36 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:42 +0800] "GET /meeting/jsp/notifications.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:42 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:42 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:47 +0800] "GET /meeting/MyMeetingServlet HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:48 +0800] "GET /meeting/jsp/mybookings.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:48 +0800] "GET /meeting/MybookingServlet HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:08 +0800] "GET /meeting/jsp/notifications.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:08 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:08 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:10 +0800] "GET /meeting/jsp/mybookings.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:10 +0800] "GET /meeting/MybookingServlet HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:11 +0800] "GET /meeting/MymeetingdetailServlet?meetingid=66 HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:47:11 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 541
