127.0.0.1 - - [28/Sep/2017:15:28:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:09 +0800] "GET /meeting/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:09 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:24 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:24 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:25 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 5784
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:25 +0800] "GET /meeting/js/notifications.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:26 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:30 +0800] "GET /meeting/jsp/searchemployees.jsp HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:30 +0800] "GET /meeting/js/employeePaging.js HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:32 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:34 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:43 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:46 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:28:48 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/jsp/searchemployees.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/styles/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/images/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /meeting/images/footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:44 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:44 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 5784
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:44 +0800] "GET /meeting/js/notifications.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:44 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:45 +0800] "GET /meeting/jsp/searchemployees.jsp HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:46 +0800] "GET /meeting/js/employeePaging.js HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:29:47 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:08 +0800] "GET /meeting/jsp/notifications.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:08 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 5784
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:08 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:10 +0800] "GET /meeting/LoginOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:10 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:10 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:16 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:16 +0800] "GET /meeting/jsp/login.jsp?msg=%27%E7%99%BB%E5%BD%95%E5%A4%B1%E8%B4%A5%27 HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [28/Sep/2017:15:31:24 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 33
